"fixedAcidity","volatileAcidity","citricAcid","residualSugar","chlorides","freeSulfurDioxide","totalSulfurDioxide","density","pH","sulphates","alcohol","quality(p0)","quality(p1)","quality(p2)","quality(p3)","quality(p4)"
-0.00884955752212402,-0.280821917808219,-0.28,-0.876712328767123,-0.863105175292154,-0.887323943661972,-0.943462897526502,0.193832599118941,-0.322834645669292,-0.892215568862275,-0.507692307692308,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.327433628318584,-0.671232876712329,-0.36,-0.821917808219178,-0.769616026711185,-0.126760563380282,-0.484098939929329,-0.0704845814978028,-0.118110236220473,-0.532934131736527,-0.2,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.716814159292035,-0.36986301369863,-1,-0.904109589041096,-0.823038397328882,-0.802816901408451,-0.915194346289753,-0.0411160058737075,0.291338582677166,-0.389221556886228,-0.692307692307692,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.823008849557522,0.0890410958904111,-1,-0.835616438356164,-0.903171953255426,-0.549295774647887,-0.491166077738516,-0.502202643171804,0.480314960629922,-0.520958083832335,-0.0769230769230769,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
0.929203539823009,-0.280821917808219,-0.02,-0.547945205479452,-0.722871452420701,-0.746478873239437,-0.879858657243816,0.92070484581498,-0.716535433070866,-0.508982035928144,-0.169230769230769,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.451327433628319,-0.301369863013699,-0.84,-0.863013698630137,-0.786310517529215,-0.605633802816901,-0.851590106007067,-0.0264317180616679,-0.0866141732283467,-0.748502994011976,-0.661538461538462,0,0,0.948683298050514,-0.244948974278318,-0.2
0.221238938053097,-0.917808219178082,0.02,-0.575342465753425,-0.692821368948247,-0.915492957746479,-0.879858657243816,0.399412628487527,-0.149606299212599,-0.233532934131737,-0.476923076923077,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.415929203539823,0.26027397260274,-0.9,-0.821917808219178,-0.759599332220367,-0.661971830985916,-0.837455830388693,-0.143906020558001,-0.244094488188976,-0.736526946107784,-0.538461538461538,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.893805309734513,-0.726027397260274,-0.5,-0.876712328767123,-0.696160267111853,-0.661971830985916,-0.68904593639576,-0.17327459618208,0.00787401574803126,-0.736526946107784,-0.753846153846154,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.345132743362832,-0.73972602739726,-0.22,-0.794520547945205,-0.779632721202003,-0.549295774647887,-0.738515901060071,-0.358296622613804,-0.102362204724409,-0.473053892215569,0.261538461538462,0,0,0,0.979795897113271,-0.2
-0.274336283185841,-0.205479452054795,-0.52,-0.780821917808219,-0.285475792988314,-0.887323943661972,-0.936395759717314,0.325991189427314,-0.0866141732283467,-0.676646706586826,-0.815384615384615,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.433628318584071,-0.36986301369863,-0.96,-0.849315068493151,-0.796327212020033,-0.774647887323944,-0.915194346289753,-0.0117474302496283,-0.0236220472440947,-0.712574850299401,-0.661538461538462,0,0,0,0.979795897113271,-0.2
-0.486725663716814,-0.383561643835617,-0.96,-0.767123287671233,-0.782971619365609,-0.71830985915493,-0.795053003533569,-0.192364170337744,-0.0236220472440947,-0.652694610778443,-0.261538461538461,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.115044247787611,-0.712328767123288,0.04,-0.821917808219178,-0.792988313856427,-0.661971830985916,-0.865724381625442,-0.26284875183553,-0.0236220472440947,-0.48502994011976,0.230769230769231,0,0,0,0.979795897113271,-0.2
-0.451327433628319,-0.575342465753425,-0.5,-0.767123287671233,-0.796327212020033,-0.211267605633803,-0.597173144876325,-0.107195301027902,-0.00787401574803137,-0.70059880239521,-0.353846153846154,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.575221238938053,-0.424657534246575,-0.82,-0.849315068493151,-0.769616026711185,-0.746478873239437,-0.929328621908127,-0.306901615271665,0.0866141732283467,-0.688622754491018,-0.0461538461538462,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.238938053097345,-0.349315068493151,-0.18,-0.0410958904109588,-0.752921535893155,-0.183098591549296,-0.27208480565371,0.428781204111607,-0.165354330708661,-0.712574850299401,-0.723076923076923,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.451327433628319,-0.253424657534246,-1,-0.794520547945205,-0.739565943238731,-0.802816901408451,-0.908127208480565,0.0763582966226088,-0.165354330708661,-0.520958083832335,-0.723076923076923,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.539823008849557,-0.212328767123288,-0.74,-0.849315068493151,-0.786310517529215,-0.690140845070423,-0.901060070671378,-0.208516886930981,-0.133858267716535,-0.748502994011976,-0.476923076923077,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.752212389380531,-0.424657534246575,-0.88,-0.876712328767123,-0.873121869782972,0.0422535211267605,-0.413427561837456,-0.663729809104256,-0.118110236220473,-0.796407185628742,-0.338461538461538,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.539823008849557,-0.643835616438356,-0.4,-0.876712328767123,-0.796327212020033,-0.154929577464789,-0.547703180212014,-0.00440528634360859,0.0708661417322833,-0.688622754491018,-0.661538461538462,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.256637168141593,-0.835616438356164,-0.3,-0.89041095890411,-0.856427378964942,-0.661971830985916,-0.851590106007067,-0.431718061674002,-0.37007874015748,-0.688622754491018,-0.107692307692308,0,0,0,0.979795897113271,-0.2
-0.451327433628319,-0.438356164383562,-0.88,-0.89041095890411,-0.792988313856427,-0.774647887323944,-0.76678445229682,-0.107195301027902,-0.0393700787401573,-0.820359281437126,-0.569230769230769,0,0,0.948683298050514,-0.244948974278318,-0.2
-0.168141592920354,-0.267123287671233,-0.48,-0.849315068493151,-0.719532554257095,-0.887323943661972,-0.795053003533569,0.0734214390602139,-0.196850393700787,-0.892215568862275,-0.630769230769231,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
-0.486725663716814,-0.589041095890411,-0.36,-0.753424657534246,-0.816360601001669,-0.830985915492958,-0.865724381625442,-0.0881057268722372,-0.21259842519685,-0.868263473053892,-0.384615384615385,0,0.894427190999916,-0.316227766016838,-0.244948974278318,-0.2
